make,model,make_year,fuel_type,transmission,kms_driven,engine_size,body_type,price,key
Ford,Ranger,2021,Diesel,Automatic,"12,200 Km",2.0,Pickup-trucks,₱1 Million,Ford Ranger
Toyota,Fortuner,2019,Gasoline,Automatic,"48,000 Km",2.694,Suv,₱1 Million,Toyota Fortuner
Toyota,Hilux,2018,Diesel,Automatic,"79,624 Km",2.4,Pickup-trucks,₱1 Million,Toyota Hilux
Mitsubishi,Montero,2017,Diesel,Automatic,"40,000 Km",2.477,Suv,₱1.02 Million,Mitsubishi Montero
Toyota,Fortuner,2017,Gasoline,Automatic,"50,000 Km",2.694,Suv,₱1.02 Million,Toyota Fortuner
Toyota,Hiace,2011,Diesel,Automatic,"96,000 Km",2.5,Van,₱1.02 Million,Toyota Hiace
Toyota,Hiace,2019,Diesel,Manual,"50,000 Km",3.0,Van,₱1.02 Million,Toyota Hiace
Mitsubishi,Montero,2017,Diesel,Automatic,"50,000 Km",2.442,Suv,₱1.02 Million,Mitsubishi Montero
Nissan,Urvan,2022,Diesel,Manual,"47,000 Km",2.663,Van,₱1.02 Million,Nissan Urvan
Mitsubishi,Montero,2017,Diesel,Automatic,"40,000 Km",2.442,Suv,₱1.02 Million,Mitsubishi Montero
GAC,GS4,2022,Gasoline,Automatic,139 Km,1.495,Suv,₱1.025 Million,GAC GS4
Toyota,Hiace,2019,Diesel,Manual,1 Km,3.0,Van,₱1.028 Million,Toyota Hiace
Mitsubishi,Montero,2016,Diesel,Manual,1 Km,2.442,Suv,₱1.028 Million,Mitsubishi Montero
Toyota,Hilux,2020,Diesel,Manual,"31,000 Km",2.393,Pickup-trucks,₱1.028 Million,Toyota Hilux
Ford,Everest,2016,Diesel,Automatic,"60,000 Km",2.2,Suv,₱1.028 Million,Ford Everest
Toyota,Innova,2020,Diesel,Automatic,"28,000 Km",2.755,Mpv,₱1.028 Million,Toyota Innova
Ford,Ranger,2022,Diesel,Automatic,"29,628 Km",2.0,Pickup-trucks,₱1.03 Million,Ford Ranger
Toyota,Innova,2020,Diesel,Manual,84 Km,2.755,Mpv,₱1.03 Million,Toyota Innova
Toyota,Innova,2021,Diesel,Automatic,"11,000 Km",2.755,Mpv,₱1.03 Million,Toyota Innova
Nissan,NV350,2020,Diesel,Manual,"14,000 Km",2.488,Minivans,₱1.038 Million,Nissan NV350
Subaru,WRX,2015,Gasoline,Cvt,"20,000 Km",1.998,Sedan,₱1.039 Million,Subaru WRX
Mitsubishi,Strada,2023,Diesel,Manual,"6,000 Km",2.396,Pickup-trucks,₱1.04 Million,Mitsubishi Strada
Geely,Okavango,2021,Gasoline,Dual-clutch,"15,000 Km",1.477,Suv,₱1.045 Million,Geely Okavango
Toyota,Veloz,2022,Gasoline,Cvt,"7,000 Km",1.5,Suv,₱1.045 Million,Toyota Veloz
Ford,Ranger,2018,Diesel,Manual,"12,000 Km",2.2,Pickup-trucks,₱1.048 Million,Ford Ranger
Geely,Coolray,2021,Gasoline,Dual-clutch,"11,000 Km",1.477,Crossover,₱1.049 Million,Geely Coolray
Toyota,Veloz,2023,Gasoline,Cvt,"3,000 Km",1.5,Suv,₱1.049 Million,Toyota Veloz
Toyota,Innova,2021,Diesel,Automatic,"12,000 Km",2.755,Mpv,₱1.049 Million,Toyota Innova
Ford,Everest,2018,Diesel,Automatic,"14,000 Km",2.2,Suv,₱1.05 Million,Ford Everest
Hyundai,Santa,2016,Diesel,Automatic,1 Km,2.199,Suv,₱1.05 Million,Hyundai Santa
Toyota,Corolla,2020,Hybrid,Cvt,"23,000 Km",1.798,Sedan,₱1.05 Million,Toyota Corolla
Ford,Everest,2016,Diesel,Automatic,"71,000 Km",2.0,Suv,₱1.05 Million,Ford Everest
Ford,Everest,2016,Diesel,Automatic,1 Km,3.2,Suv,₱1.05 Million,Ford Everest
Toyota,Fortuner,2018,Diesel,Automatic,"45,000 Km",2.393,Suv,₱1.05 Million,Toyota Fortuner
Mitsubishi,Xpander,2020,Gasoline,Automatic,"28,000 Km",1.499,Mpv,₱1.05 Million,Mitsubishi Xpander
Toyota,Hiace,2017,Diesel,Manual,1 Km,2.982,Van,₱1.05 Million,Toyota Hiace
Mazda,3,2020,Gasoline,Automatic,"20,000 Km",1.5,Hatchback,₱1.05 Million,Mazda 3
Toyota,Fortuner,2017,Diesel,Automatic,"106,000 Km",2.4,Suv,₱1.05 Million,Toyota Fortuner
Hyundai,Tucson,2019,Diesel,Automatic,"50,000 Km",1.995,Suv,₱1.058 Million,Hyundai Tucson
Mitsubishi,Strada,2020,Diesel,Automatic,"26,000 Km",2.477,Pickup-trucks,₱1.058 Million,Mitsubishi Strada
Toyota,Fortuner,2018,Diesel,Manual,"48,000 Km",2.393,Suv,₱1.058 Million,Toyota Fortuner
Toyota,Fortuner,2014,Diesel,Automatic,"54,000 Km",2.982,Suv,₱1.058 Million,Toyota Fortuner
Ford,Ranger,2017,Diesel,Automatic,"39,000 Km",2.2,Pickup-trucks,₱1.058 Million,Ford Ranger
Honda,Civic,2017,Gasoline,Cvt,"24,000 Km",1.498,Sedan,₱1.058 Million,Honda Civic
Mitsubishi,Montero,2017,Diesel,Automatic,"53,000 Km",2.442,Suv,₱1.058 Million,Mitsubishi Montero
