key,make,model,fuel_type,transmission,body_type,make_year,ext_make_year,kms_driven,engine_size,resale_price,srp,no_sc_mmnl
Ford Everest,Ford,Everest,Diesel,Automatic,Suv,2018,2024,45000.0,2.2,1098000.0,1799000.0,2
Ford Everest,Ford,Everest,Diesel,Automatic,Suv,2018,2024,41000.0,2.2,1168000.0,1799000.0,2
Ford Everest,Ford,Everest,Diesel,Automatic,Suv,2017,2024,60000.0,3.2,1190000.0,1799000.0,2
Ford Everest,Ford,Everest,Diesel,Automatic,Suv,2018,2024,38000.0,2.0,1200000.0,1799000.0,2
Ford Everest,Ford,Everest,Diesel,Automatic,Suv,2020,2024,80000.0,2.0,1200000.0,1799000.0,2
Ford Everest,Ford,Everest,Diesel,Automatic,Suv,2020,2024,60000.0,2.0,1350000.0,1799000.0,2
Ford Everest,Ford,Everest,Diesel,Automatic,Suv,2019,2024,23000.0,2.0,1358000.0,1799000.0,2
Ford Everest,Ford,Everest,Diesel,Automatic,Suv,2023,2024,8000.0,2.0,1600000.0,1799000.0,2
Ford Everest,Ford,Everest,Diesel,Automatic,Suv,2022,2024,20000.0,2.0,1700000.0,1799000.0,2
Ford Everest,Ford,Everest,Diesel,Automatic,Suv,2022,2024,11000.0,2.0,1795000.0,1799000.0,2
Ford Everest,Ford,Everest,Diesel,Automatic,Suv,2022,2024,20001.0,2.0,1830000.0,1799000.0,2
Ford Everest,Ford,Everest,Diesel,Automatic,Suv,2020,2024,11000.0,2.0,1880000.0,1799000.0,2
Ford Ranger,Ford,Ranger,Diesel,Automatic,Pickup,2021,2024,40000.0,2.0,1540000.0,1249000.0,2
Ford Ranger,Ford,Ranger,Diesel,Automatic,Pickup,2016,2024,60000.0,2.2,680000.0,1249000.0,2
Ford Ranger,Ford,Ranger,Diesel,Automatic,Pickup,2017,2024,60000.0,2.2,770000.0,1249000.0,2
Ford Ranger,Ford,Ranger,Diesel,Automatic,Pickup,2020,2024,40000.0,2.0,905000.0,1249000.0,2
Ford Ranger,Ford,Ranger,Diesel,Automatic,Pickup,2022,2024,21000.0,2.0,1890000.0,1249000.0,2
Ford Ranger,Ford,Ranger,Diesel,Manual,Pickup,2014,2024,74000.0,2.2,1000000.0,1249000.0,2
