make,model,make_year,fuel_type,transmission,kms_driven,engine_size,body_type,resale_price,key
Mitsubishi,L300,2021,Diesel,Manual,19000.0,2.27,Van,798000.0,Mitsubishi L300
Toyota,Raize,2022,Gasoline,Cvt,29000.0,1.2,Crossover,798000.0,Toyota Raize
Ford,Everest,2016,Diesel,Automatic,30000.0,2.0,Suv,800000.0,Ford Everest
Honda,Civic,2016,Gasoline,Cvt,57000.0,1.8,Sedan,800000.0,Honda Civic
Hyundai,Kona,2019,Gasoline,Automatic,6000.0,2.0,Crossover,800000.0,Hyundai Kona
Peugeot,308,2017,Diesel,Automatic,75000.0,1.6,Hatchback,800000.0,Peugeot 308
MG,ZS,2022,Gasoline,Automatic,4200.0,1.35,Crossover,800000.0,MG ZS
Hyundai,Tucson,2018,Gasoline,Automatic,55000.0,2.0,Suv,800000.0,Hyundai Tucson
Mitsubishi,Xpander,2019,Gasoline,Automatic,90000.0,1.5,Mpv,800000.0,Mitsubishi Xpander
Toyota,RAV,2014,Gasoline,Automatic,65000.0,2.5,Suv,800000.0,Toyota RAV
Toyota,Fortuner,2014,Diesel,Automatic,60000.0,2.39,Suv,800000.0,Toyota Fortuner
Toyota,Rush,2021,Gasoline,Automatic,43000.0,1.5,Suv,800000.0,Toyota Rush
Toyota,Raize,2022,Gasoline,Cvt,12935.0,1.2,Crossover,800000.0,Toyota Raize
Ford,Everest,2016,Diesel,Automatic,88000.0,2.0,Suv,800000.0,Ford Everest
Isuzu,mu-X,2016,Diesel,Automatic,98000.0,3.0,Suv,800000.0,Isuzu mu-X
Audi,A4,2013,Diesel,Automatic,40000.0,1.97,Sedan,800000.0,Audi A4
Suzuki,Ertiga,2023,Gasoline,Automatic,11400.0,1.46,Mpv,800000.0,Suzuki Ertiga
Mitsubishi,Xpander,2020,Gasoline,Automatic,30000.0,1.5,Mpv,800000.0,Mitsubishi Xpander
Mitsubishi,Xpander,2018,Gasoline,Automatic,46000.0,1.5,Mpv,800000.0,Mitsubishi Xpander
Peugeot,3008,2020,Gasoline,Automatic,5000.0,1.6,Crossover,800000.0,Peugeot 3008
Mitsubishi,Xpander,2020,Gasoline,Automatic,80000.0,1.5,Mpv,800000.0,Mitsubishi Xpander
Honda,CR-V,2017,Gasoline,Cvt,53000.0,1.5,Suv,800000.0,Honda CR-V
Toyota,Rush,2019,Gasoline,Automatic,90000.0,1.5,Suv,810000.0,Toyota Rush
Isuzu,mu-X,2015,Diesel,Automatic,60000.0,3.0,Suv,810000.0,Isuzu mu-X
Toyota,Rush,2019,Gasoline,Automatic,35000.0,1.5,Suv,815000.0,Toyota Rush
Isuzu,mu-X,2016,Diesel,Automatic,51000.0,3.0,Suv,818000.0,Isuzu mu-X
Toyota,Innova,2016,Diesel,Automatic,60000.0,2.5,Mpv,820000.0,Toyota Innova
Isuzu,mu-X,2016,Diesel,Automatic,120000.0,3.0,Suv,820000.0,Isuzu mu-X
Ford,Everest,2018,Diesel,Manual,45000.0,2.2,Suv,825000.0,Ford Everest
Mitsubishi,Xpander,2019,Gasoline,Automatic,7000.0,1.5,Mpv,828000.0,Mitsubishi Xpander
Chevrolet,Trailblazer,2016,Diesel,Automatic,32000.0,2.78,Suv,828000.0,Chevrolet Trailblazer
Nissan,Urvan,2018,Diesel,Manual,30000.0,2.66,Van,828000.0,Nissan Urvan
Mitsubishi,Xpander,2019,Gasoline,Automatic,1.0,1.5,Mpv,828000.0,Mitsubishi Xpander
Mitsubishi,Xpander,2019,Gasoline,Automatic,14000.0,1.5,Mpv,828000.0,Mitsubishi Xpander
Mitsubishi,Xpander,2019,Gasoline,Automatic,15000.0,1.5,Mpv,828000.0,Mitsubishi Xpander
Foton,View,2021,Diesel,Manual,4000.0,2.8,Van,828000.0,Foton View
Nissan,NV350,2018,Diesel,Manual,30000.0,2.49,Minivans,828000.0,Nissan NV350
Isuzu,mu-X,2015,Diesel,Automatic,62000.0,3.0,Suv,828000.0,Isuzu mu-X
Honda,BR-V,2017,Gasoline,Automatic,10000.0,1.5,Suv,830000.0,Honda BR-V
Toyota,Rush,2018,Gasoline,Automatic,46000.0,1.5,Suv,830000.0,Toyota Rush
Mitsubishi,Montero,2017,Diesel,Manual,70000.0,2.44,Suv,830000.0,Mitsubishi Montero
Ford,Everest,2016,Diesel,Automatic,1.0,2.2,Suv,830000.0,Ford Everest
Toyota,Rush,2018,Gasoline,Automatic,300001.0,1.5,Suv,830000.0,Toyota Rush
Nissan,NV350,2018,Diesel,Manual,40000.0,2.49,Minivans,830000.0,Nissan NV350
Nissan,NP300,2019,Diesel,Automatic,60000.0,2.5,Pickup-trucks,830000.0,Nissan NP300
Honda,BR-V,2019,Gasoline,Automatic,15000.0,1.5,Suv,838000.0,Honda BR-V
Chevrolet,Colorado,2019,Diesel,Manual,1.0,2.5,Pickup-trucks,838000.0,Chevrolet Colorado
Ford,Ranger,2020,Diesel,Manual,30000.0,2.0,Pickup-trucks,838000.0,Ford Ranger
Chevrolet,Trailblazer,2018,Diesel,Automatic,90000.0,2.78,Suv,840000.0,Chevrolet Trailblazer
Ford,Territory,2021,Gasoline,Cvt,45000.0,1.49,Crossover,840000.0,Ford Territory
Mitsubishi,Montero,2016,Diesel,Manual,45000.0,2.44,Suv,840000.0,Mitsubishi Montero
Toyota,Fortuner,2015,Diesel,Manual,55000.0,2.39,Suv,840000.0,Toyota Fortuner
Subaru,XV,2018,Gasoline,Cvt,100000.0,2.0,Suv,840000.0,Subaru XV
Mitsubishi,Montero,2017,Diesel,Manual,93000.0,2.44,Suv,840000.0,Mitsubishi Montero
Toyota,Rush,2022,Gasoline,Automatic,25000.0,1.5,Suv,840000.0,Toyota Rush
Toyota,Fortuner,2015,Diesel,Automatic,39000.0,2.39,Suv,841000.0,Toyota Fortuner
Hyundai,Starex,2014,Diesel,Automatic,26000.0,2.5,Van,845000.0,Hyundai Starex
Suzuki,Vitara,2019,Gasoline,Automatic,1.0,1.6,Suv,848000.0,Suzuki Vitara
Nissan,NP300,2017,Diesel,Manual,35000.0,2.5,Pickup-trucks,848000.0,Nissan NP300
Nissan,NP300,2018,Diesel,Automatic,50000.0,2.5,Pickup-trucks,848000.0,Nissan NP300
Toyota,Hilux,2016,Diesel,Manual,56000.0,2.39,Pickup-trucks,848000.0,Toyota Hilux
Honda,Civic,2021,Gasoline,Automatic,24000.0,1.8,Sedan,849000.0,Honda Civic
Hyundai,Tucson,2017,Diesel,Automatic,32000.0,2.0,Suv,850000.0,Hyundai Tucson
Hyundai,H-100,2020,Diesel,Manual,11000.0,2.5,Minivans,850000.0,Hyundai H-100
Kia,Soul,2018,Diesel,Manual,32000.0,1.6,Hatchback,850000.0,Kia Soul
Hyundai,H-100,2018,Diesel,Manual,20000.0,2.61,Pickup-trucks,850000.0,Hyundai H-100
Chevrolet,Trailblazer,2014,Gasoline,Cvt,90000.0,1.34,Suv,850000.0,Chevrolet Trailblazer
Toyota,Hiace,2017,Diesel,Manual,65000.0,3.0,Van,850000.0,Toyota Hiace
Toyota,Innova,2018,Diesel,Manual,70000.0,2.8,Mpv,850000.0,Toyota Innova
Mitsubishi,Xpander,2019,Gasoline,Automatic,1.0,1.5,Mpv,850000.0,Mitsubishi Xpander
Isuzu,mu-X,2015,Diesel,Automatic,60000.0,3.0,Suv,850000.0,Isuzu mu-X
Toyota,Rush,2019,Gasoline,Automatic,200001.0,1.5,Suv,850000.0,Toyota Rush
Toyota,Innova,2017,Diesel,Automatic,53000.0,2.8,Mpv,850000.0,Toyota Innova
Subaru,Levorg,2016,Gasoline,Automatic,55000.0,1.6,Station-wagon,850000.0,Subaru Levorg
Subaru,Forester,2018,Gasoline,Automatic,32000.0,2.0,Suv,850000.0,Subaru Forester
Ford,Territory,2021,Gasoline,Automatic,59000.0,1.5,Suv,850000.0,Ford Territory
Ford,Ranger,2018,Diesel,Automatic,45000.0,2.2,Pickup-trucks,850000.0,Ford Ranger
Foton,Transvan,2019,Diesel,Manual,55000.0,2.77,Van,850000.0,Foton Transvan
Toyota,Rush,2020,Gasoline,Automatic,55000.0,1.5,Suv,850000.0,Toyota Rush
Isuzu,Traviz,2020,Diesel,Manual,3200.0,2.5,Van,850000.0,Isuzu Traviz
Ford,Everest,2016,Diesel,Automatic,45000.0,2.0,Suv,850000.0,Ford Everest
Mitsubishi,Xpander,2019,Gasoline,Automatic,1.0,1.5,Mpv,857000.0,Mitsubishi Xpander
Mitsubishi,Xpander,2021,Gasoline,Automatic,5000.0,1.5,Mpv,858000.0,Mitsubishi Xpander
Mercedes-Benz,B-Class,2014,Gasoline,Automatic,30000.0,1.6,Hatchback,858000.0,Mercedes-Benz B-Class
Chevrolet,Trailblazer,2017,Diesel,Automatic,50000.0,2.78,Suv,858000.0,Chevrolet Trailblazer
Mitsubishi,Xpander,2019,Gasoline,Automatic,1.0,1.5,Mpv,858000.0,Mitsubishi Xpander
Toyota,Innova,2019,Diesel,Manual,1.0,2.76,Mpv,858000.0,Toyota Innova
Mitsubishi,Xpander,2019,Gasoline,Automatic,1.0,1.5,Mpv,858000.0,Mitsubishi Xpander
Peugeot,308,2016,Diesel,Automatic,1.0,1.6,Hatchback,858000.0,Peugeot 308
Toyota,Rush,2020,Gasoline,Automatic,19100.0,1.5,Suv,858000.0,Toyota Rush
BMW,3,2011,Gasoline,Manual,78000.0,1.59,Sedan,858000.0,BMW 3
Nissan,NP300,2016,Diesel,Manual,60000.0,2.5,Pickup-trucks,858000.0,Nissan NP300
Toyota,Camry,2016,Gasoline,Automatic,51000.0,2.49,Sedan,858000.0,Toyota Camry
BMW,5,2007,Diesel,Automatic,1.0,2.0,Sedan,858000.0,BMW 5
Ford,Territory,2021,Gasoline,Cvt,33000.0,1.49,Crossover,858000.0,Ford Territory
Toyota,Innova,2019,Diesel,Manual,65000.0,2.8,Mpv,860000.0,Toyota Innova
Hyundai,H-100,2020,Diesel,Manual,12139.0,2.5,Minivans,865000.0,Hyundai H-100
Toyota,Hiace,2017,Diesel,Manual,43230.0,2.98,Van,865000.0,Toyota Hiace
Nissan,NP300,2016,Diesel,Automatic,58000.0,2.5,Pickup-trucks,865000.0,Nissan NP300
Toyota,Innova,2019,Diesel,Manual,41000.0,2.76,Mpv,867000.0,Toyota Innova
Nissan,NP300,2020,Diesel,Manual,19000.0,2.5,Pickup-trucks,868000.0,Nissan NP300
MG,ZS,2019,Gasoline,Automatic,18000.0,1.5,Crossover,868000.0,MG ZS
Nissan,NV350,2016,Diesel,Manual,56000.0,2.49,Minivans,868000.0,Nissan NV350
Isuzu,mu-X,2017,Diesel,Manual,40000.0,2.49,Suv,868000.0,Isuzu mu-X
Kia,Seltos,2020,Gasoline,Cvt,20000.0,2.0,Suv,868000.0,Kia Seltos
Nissan,NV350,2017,Diesel,Manual,81000.0,2.49,Minivans,870000.0,Nissan NV350
Ford,Ranger,2018,Diesel,Automatic,50000.0,2.2,Pickup-trucks,875000.0,Ford Ranger
Mitsubishi,Xpander,2022,Gasoline,Manual,27000.0,1.5,Mpv,875000.0,Mitsubishi Xpander
Ford,Ranger,2016,Diesel,Automatic,100000.0,2.0,Pickup-trucks,875000.0,Ford Ranger
Toyota,Innova,2017,Diesel,Automatic,40000.0,2.8,Mpv,875000.0,Toyota Innova
Nissan,NP300,2019,Diesel,Automatic,44000.0,2.5,Pickup-trucks,878000.0,Nissan NP300
Nissan,NP300,2020,Diesel,Automatic,25000.0,2.5,Pickup-trucks,878000.0,Nissan NP300
Subaru,XV,2018,Gasoline,Cvt,103000.0,2.0,Suv,878000.0,Subaru XV
Ford,E-150,2013,Gasoline,Automatic,38000.0,4.6,Van,880000.0,Ford E-150
Toyota,Hiace,2017,Diesel,Manual,35000.0,2.5,Van,880000.0,Toyota Hiace
Hyundai,Grand,2014,Diesel,Automatic,53000.0,2.5,Van,880000.0,Hyundai Grand
Toyota,Alphard,2011,Gasoline,Automatic,76155.0,3.5,Mpv,880000.0,Toyota Alphard
Subaru,Forester,2018,Gasoline,Cvt,16000.0,2.0,Suv,880000.0,Subaru Forester
Subaru,Tribeca,2012,Gasoline,Automatic,33000.0,3.6,Suv,880000.0,Subaru Tribeca
Toyota,Hilux,2019,Diesel,Manual,63000.0,2.39,Pickup-trucks,880000.0,Toyota Hilux
Ford,Ranger,2020,Diesel,Manual,9000.0,2.2,Pickup-trucks,880000.0,Ford Ranger
Isuzu,mu-X,2015,Diesel,Automatic,62000.0,2.5,Suv,880000.0,Isuzu mu-X
Toyota,Innova,2019,Diesel,Automatic,44000.0,2.76,Mpv,880000.0,Toyota Innova
Mitsubishi,Montero,2017,Diesel,Automatic,85000.0,2.4,Suv,880000.0,Mitsubishi Montero
