,model,price,registration_year,make_year,fuel_type,body_type,kms_driven,ownership,transmission,city,seats,engine_displacement
116,2019 Toyota Avanza 1.5 G CVT Detail,"₱700,000 ",2019.0,2019,Gasoline,Mpv,"20,000 Km",First Owner,Cvt,Taguig,7 seat,1496 CC
117,2007 Toyota Fortuner 2.5 G AT Detail,"₱700,000 ",,2007,Diesel,Suv,,First Owner,Automatic,Quezon City,,
118,2018 Hyundai Tucson 2.0L GLS AT Detail,"₱700,000 ",2022.0,2018,Gasoline,Suv,"50,000 Km",First Owner,Automatic,Quezon City,5 seat,1999 CC
119,2014 Ford Explorer 2.0L Ecoboost Limited Detail,"₱700,000 ",2014.0,2014,Gasoline,Suv,"65,000 Km",First Owner,Automatic,Paranaque,7 seat,1999 CC
120,2018 Foton Traveller XL 16 Seater Detail,"₱700,000 ",2019.0,2018,Diesel,Van,"80,000 Km",First Owner,Manual,Manila,16 seat,2800 CC
121,2008 Mercedes-Benz C 200 2.0 L Elegance AT Detail,"₱700,000 ",2022.0,2008,Gasoline,Sedan,"700,000 Km",Second Owner,Automatic,Quezon City,,
122,2013 Toyota Camry 2.5 V AT Detail,"₱700,000 ",,2013,Gasoline,Sedan,"51,000 Km",First Owner,Automatic,Malabon,,2499 CC
123,2019 Mitsubishi Xpander GLX MT Detail,"₱700,000 ",2023.0,2019,Gasoline,Mpv,"45,000 Km",First Owner,Manual,Las Piñas,7 seat,1499 CC
124,2015 Chevrolet Trailblazer LT Detail,"₱700,000 ",2020.0,2015,Gasoline,Suv,"46,831 Km",Second Owner,Cvt,Cebu City,5 seat,1341 CC
125,2011 Toyota Fortuner 2.4 G Diesel 4x2 AT Detail,"₱700,000 ",2023.0,2011,Diesel,Suv,"195,000 Km",First Owner,Automatic,Las Piñas,7 seat,2393 CC
126,2016 Chevrolet Trailblazer Premier Detail,"₱700,000 ",2017.0,2016,Gasoline,Suv,"75,000 Km",Second Owner,Cvt,Cebu City,5 seat,1341 CC
127,2011 Toyota Hiace 2.5L Commuter MT Detail,"₱700,000 ",2011.0,2011,Diesel,Van,"348,654 Km",First Owner,Manual,Tagbilaran City,,
128,2016 Hyundai Tucson 2.0 GLS Plus AT (Diesel) Detail,"₱700,000 ",2023.0,2016,Diesel,Suv,"55,000 Km",First Owner,Automatic,Taguig,5 seat,1998 CC
129,2018 Honda Jazz 1.5 VX Navi CVT Detail,"₱700,000 ",2018.0,2018,Gasoline,Hatchback,"36,000 Km",First Owner,Cvt,"Santa Rosa, Laguna",5 seat,1497 CC
130,2020 Honda Brio 1.2 RS CVT Detail,"₱700,000 ",2020.0,2020,Gasoline,Hatchback,"25,000 Km",First Owner,Cvt,Mabalacat,5 seat,1199 CC
0,2015 Hyundai Grand Starex GL TCI(10s)- U MT Detail,"₱708,000 ",,2015,Gasoline,Minivans,1 Km,First Owner,Manual,Quezon City,10 seat,2476 CC
1,2015 Honda HR-V 1.8 E CVT Detail,"₱710,000 ",2017.0,2015,Gasoline,Crossover,"12,000 Km",First Owner,Cvt,Manila,5 seat,1799 CC
2,2015 Honda HR-V 1.8L EL AT Detail,"₱710,000 ",,2015,Gasoline,Suv,"70,000 Km",First Owner,Automatic,Las Piñas,,
3,2022 Toyota Vios 1.3 XLE CVT Detail,"₱710,000 ",,2022,Gasoline,Sedan,"16,000 Km",First Owner,Cvt,Puerto Princesa City,5 seat,1329 CC
4,2019 Toyota Rush 1.5 G GR-S A/T Detail,"₱710,000 ",2019.0,2019,Gasoline,Suv,"35,000 Km",First Owner,Automatic,Quezon City,7 seat,1496 CC
5,2016 Ford Ranger 2.0L Bi-Turbo Wildtrak 4x4 AT Detail,"₱710,000 ",2016.0,2016,Diesel,Pickup-trucks,"95,000 Km",First Owner,Automatic,Tagaytay,5 seat,1996 CC
6,2018 Volkswagen Golf Highline Detail,"₱712,000 ",2018.0,2018,Gasoline,Hatchback,"65,000 Km",First Owner,,Quezon City,,
7,2017 Mazda CX-3 FWD Pro Detail,"₱715,000 ",,2017,Gasoline,Hatchback,"38,000 Km",First Owner,Automatic,Caloocan City,5 seat,1998 CC
8,2019 Foton View Transvan 2.8L MT Detail,"₱718,000 ",,2019,Diesel,Van,1 Km,First Owner,Manual,Pasig,15 seat,2800 CC
9,2022 Mitsubishi Mirage G4 GLS 1.2 CVT Detail,"₱718,000 ",2022.0,2022,Gasoline,Sedan,"15,000 Km",First Owner,Cvt,Marikina City,5 seat,1193 CC
10,2019 MG ZS Alpha AT Detail,"₱718,000 ",2019.0,2019,Gasoline,Crossover,"38,000 Km",First Owner,Automatic,Muntinlupa,5 seat,1499 CC
11,2013 Mitsubishi Montero Sport 2.5L GLS-V SE AT Detail,"₱718,000 ",2013.0,2013,Diesel,Suv,"82,000 Km",First Owner,Automatic,Cebu City,7 seat,2477 CC
12,2018 Suzuki Jimny GLX Monotone 4AT Detail,"₱718,000 ",2018.0,2018,Gasoline,Suv,"80,000 Km",First Owner,Automatic,Marikina City,4 seat,1462 CC
13,2017 Toyota Avanza 1.5 G CVT Detail,"₱718,000 ",2023.0,2017,Gasoline,Mpv,"55,000 Km",First Owner,Cvt,Quezon City,7 seat,1496 CC
14,2018 Honda BR-V 1.5L V AT Detail,"₱720,000 ",2019.0,2018,Gasoline,Suv,"50,000 Km",First Owner,Automatic,Cavite City,,
15,2018 Honda BR-V 1.5 S CVT Detail,"₱720,000 ",,2018,Gasoline,Crossover,"41,000 Km",First Owner,Cvt,Las Piñas,7 seat,1497 CC
16,2010 Mercedes-Benz C-Class C250 Detail,"₱720,000 ",,2010,Gasoline,Sedan,"41,000 Km",First Owner,Automatic,Las Piñas,5 seat,1991 CC
17,2016 Chevrolet Trailblazer 2.8 2WD 6AT LT Detail,"₱720,000 ",,2016,Diesel,Suv,"56,000 Km",First Owner,Automatic,Las Piñas,7 seat,2776 CC
18,2019 Suzuki Vitara MC GLX Detail,"₱720,000 ",,2019,Gasoline,Crossover,,First Owner,Automatic,Makati City,5 seat,1586 CC
19,2015 Honda Accord 3.5 SV AT V6 Detail,"₱720,000 ",2015.0,2015,Gasoline,Sedan,"70,000 Km",First Owner,Automatic,Cebu City,5 seat,3471 CC
20,2015 Mitsubishi Montero Sport GLX 2WD MT Detail,"₱720,000 ",2015.0,2015,Diesel,Suv,1 Km,First Owner,Manual,Cebu City,7 seat,2442 CC
21,2022 MG ZS T Trophy Detail,"₱720,000 ",2022.0,2022,Gasoline,Crossover,"5,000 Km",First Owner,Automatic,Makati City,5 seat,1349 CC
22,2018 Honda BR-V 1.5L S CVT Detail,"₱720,000 ",2023.0,2018,Gasoline,Suv,"88,000 Km",First Owner,Cvt,Bacoor,7 seat,1498 CC
23,2007 BMW 530d Gran Tursimo 3.0L AT Detail,"₱720,000 ",2016.0,2007,Diesel,Sedan,"82,000 Km",First Owner,Automatic,Muntinlupa,,
24,2021 Mitsubishi L300 Exceed 2.2 Diesel Euro 4 Detail,"₱720,000 ",2023.0,2021,Diesel,Van,"50,000 Km",First Owner,Manual,Caloocan City,3 seat,2268 CC
25,2022 MG ZS Style MT Detail,"₱720,000 ",2022.0,2022,Gasoline,Crossover,"21,549 Km",First Owner,Manual,Pasig,5 seat,1499 CC
26,2014 Ford Ranger Wildtrak 2.2L 4x2 AT Detail,"₱725,000 ",,2014,Diesel,Pickup-trucks,"59,000 Km",First Owner,Automatic,Lapu-Lapu City,5 seat,2198 CC
27,2014 Mitsubishi Montero Sport GTV 4x4 AT Detail,"₱725,000 ",2014.0,2014,Diesel,Suv,1 Km,First Owner,Automatic,"Talisay City, Cebu",7 seat,2477 CC
28,2016 Isuzu Crosswind Sportivo AT Detail,"₱725,000 ",2023.0,2016,Diesel,Mpv,"27,000 Km",First Owner,Automatic,"Talisay City, Cebu",7 seat,2499 CC
29,2016 Isuzu Crosswind XUV AT Detail,"₱725,000 ",2016.0,2016,Diesel,Suv,"25,000 Km",First Owner,Automatic,"Talisay City, Cebu",7 seat,2499 CC
30,2016 Subaru Forester 2.0i-L CVT Detail,"₱725,000 ",2022.0,2016,Gasoline,Crossover,"62,800 Km",Second Owner,Cvt,Angeles City,5 seat,1995 CC
31,2016 Mazda CX-5 2.5L AWD Sport Detail,"₱725,000 ",2016.0,2016,Gasoline,Crossover,"67,800 Km",Second Owner,Automatic,Calamba City,5 seat,2488 CC
32,2018 Isuzu D-Max 3.0 LS 4x2 MT Detail,"₱725,000 ",2023.0,2018,Diesel,Pickup-trucks,"75,000 Km",First Owner,Manual,Angeles City,5 seat,2999 CC
33,2018 Mitsubishi L300 2.5L FB Exceed MT Detail,"₱728,000 ",,2018,Diesel,Mpv,"8,000 Km",First Owner,Manual,Marikina City,,2488 CC
34,2017 Isuzu Crosswind Sportivo AT Detail,"₱728,000 ",,2017,Diesel,Mpv,1 Km,First Owner,Automatic,Quezon City,7 seat,2499 CC
35,2019 Hyundai Kona 2.0 GLS 6A/T Detail,"₱728,000 ",2019.0,2019,Gasoline,Crossover,"21,000 Km",First Owner,Automatic,Quezon City,5 seat,1998 CC
36,2015 Toyota Innova Diesel AT 2.5 E Detail,"₱728,000 ",2015.0,2015,Diesel,Mpv,"58,000 Km",First Owner,Automatic,Quezon City,8 seat,2494 CC
37,2020 Honda City 1.5L VX AT Detail,"₱728,000 ",2020.0,2020,Gasoline,Sedan,"20,000 Km",First Owner,Automatic,Quezon City,,
38,2014 Subaru Forester 2.0XT Detail,"₱728,000 ",,2014,Gasoline,Suv,,First Owner,Automatic,Paranaque,5 seat,1998 CC
39,2013 Subaru Forester 2.0XT Detail,"₱728,000 ",,2013,Gasoline,Suv,,First Owner,Automatic,Cavite City,5 seat,1998 CC
40,2020 Toyota Avanza 1.3 E AT Detail,"₱729,000 ",,2020,Gasoline,Mpv,1 Km,First Owner,Automatic,Pasig,7 seat,1329 CC
41,2015 Kia Sportage 2.0 LX AT 4X2 Diesel Detail,"₱730,000 ",2021.0,2015,Diesel,Suv,"75,000 Km",Second Owner,Automatic,Baguio City,5 seat,1995 CC
42,2017 Honda Mobilio 1.5 V CVT Detail,"₱730,000 ",2018.0,2017,Gasoline,Mpv,"34,000 Km",First Owner,Cvt,Paranaque,7 seat,1497 CC
43,2015 Toyota Fortuner 2.4 G Diesel 4x2 MT Detail,"₱730,000 ",2015.0,2015,Diesel,Suv,"77,000 Km",First Owner,Manual,Davao City,7 seat,2393 CC
44,2016 Isuzu D-Max 3.0 LS 4x2 MT Detail,"₱730,000 ",2016.0,2016,Diesel,Pickup-trucks,"48,000 Km",First Owner,Manual,Bacoor,5 seat,2999 CC
45,2017 Honda BR-V 1.5 S CVT Detail,"₱730,000 ",,2017,Gasoline,Crossover,"30,000 Km",First Owner,Cvt,Las Piñas,7 seat,1497 CC
46,2017 Honda BR-V 1.5 S CVT Detail,"₱730,000 ",,2017,Gasoline,Crossover,"60,000 Km",First Owner,Cvt,Las Piñas,7 seat,1497 CC
47,2017 Hyundai Tucson 2.0 CRDi GL 8AT 2WD (Dsl) Detail,"₱730,000 ",,2017,Diesel,Suv,"50,000 Km",First Owner,Automatic,Las Piñas,5 seat,1995 CC
48,2018 Chevrolet Colorado 2.5L LT 4x2 MT Detail,"₱730,000 ",2018.0,2018,Diesel,Pickup-trucks,"80,000 Km",First Owner,Manual,Lapu-Lapu City,5 seat,2499 CC
49,2017 Ford Everest 2.0L Turbo Trend 4x2 AT Detail,"₱730,000 ",2023.0,2017,Diesel,Suv,"75,000 Km",First Owner,Automatic,Manila,7 seat,1996 CC
50,2017 Honda Civic S Turbo CVT Honda Sensing Detail,"₱730,000 ",2023.0,2017,Gasoline,Sedan,"45,000 Km",First Owner,Cvt,Makati City,5 seat,1498 CC
51,2019 Hyundai Tucson 2.0L GLS AT Detail,"₱730,000 ",2023.0,2019,Gasoline,Suv,"46,000 Km",First Owner,Automatic,Angeles City,5 seat,1999 CC
52,2012 Mitsubishi Strada GLS Sport V 4x4 AT Detail,"₱735,000 ",2012.0,2012,Diesel,Pickup-trucks,"81,000 Km",First Owner,Automatic,"Talisay City, Cebu",5 seat,2477 CC
53,2019 Hyundai Kona 2.0 GLS 6A/T Detail,"₱737,000 ",,2019,Gasoline,Crossover,1 Km,First Owner,Automatic,Pasig,5 seat,1998 CC
54,2010 Toyota Fortuner 2.5 G AT Detail,"₱738,000 ",,2010,Diesel,Suv,"80,000 Km",First Owner,Automatic,Quezon City,,
55,2019 Hyundai Kona 2.0 GLS 6A/T Detail,"₱738,000 ",2019.0,2019,Gasoline,Crossover,"4,000 Km",First Owner,Automatic,Quezon City,5 seat,1998 CC
56,2019 Toyota Innova 2.8 J Diesel MT Detail,"₱739,000 ",,2019,Diesel,Mpv,"31,000 Km",First Owner,Manual,Quezon City,8 seat,2755 CC
57,2012 Isuzu D-Max LX 4x4 MT Detail,"₱740,000 ",2012.0,2012,Diesel,Pickup-trucks,"75,000 Km",First Owner,Manual,Cebu City,,
58,2011 Toyota Fortuner 2.7 G Gas A/T Detail,"₱745,000 ",2011.0,2011,Gasoline,Suv,"40,000 Km",Second Owner,Automatic,Caloocan City,7 seat,2694 CC
59,2011 Mercedes-Benz CLC180 1.8 L AT Detail,"₱745,000 ",2011.0,2011,Gasoline,Coupe,"33,000 Km",First Owner,Automatic,Quezon City,,
60,2019 Mitsubishi Xpander GLX MT Detail,"₱745,000 ",2019.0,2019,Gasoline,Mpv,"29,000 Km",First Owner,Manual,"Talisay City, Cebu",7 seat,1499 CC
61,2013 Toyota Fortuner 2.4 G Diesel 4x2 AT Detail,"₱745,000 ",2023.0,2013,Diesel,Suv,"173,000 Km",First Owner,Automatic,Makati City,7 seat,2393 CC
62,2017 Hyundai Tucson 2.0 CRDi GL 8AT 2WD (Dsl) Detail,"₱746,000 ",2017.0,2017,Diesel,Suv,"27,000 Km",First Owner,Automatic,Cebu City,5 seat,1995 CC
63,2020 Ford Ecosport 1.5 L Titanium AT Detail,"₱746,000 ",2020.0,2020,Gasoline,Crossover,"7,200 Km",First Owner,Automatic,Cebu City,5 seat,1498 CC
64,2017 Nissan Urvan 18 Seater VX Detail,"₱748,000 ",2017.0,2017,Diesel,Van,"28,000 Km",First Owner,Manual,Quezon City,18 seat,2663 CC
65,2019 Honda City 1.5 VX Navi CVT Detail,"₱748,000 ",2020.0,2019,Gasoline,Sedan,"28,000 Km",First Owner,Cvt,Quezon City,5 seat,1496 CC
66,2018 Suzuki Vitara MC GLX Detail,"₱748,000 ",,2018,Gasoline,Crossover,"56,000 Km",First Owner,Automatic,Pasig,5 seat,1586 CC
67,2019 Mitsubishi Xpander GLS AT Detail,"₱748,000 ",,2019,Gasoline,Mpv,"46,000 Km",First Owner,Automatic,Quezon City,7 seat,1499 CC
68,2020 Ford Ranger 2.2L XLS 4x2 MT Detail,"₱749,000 ",2020.0,2020,Diesel,Pickup-trucks,"50,000 Km",First Owner,Manual,Paranaque,5 seat,2198 CC
69,2002 Jaguar X-Type 2.5 L AT Detail,"₱750,000 ",2020.0,2002,Gasoline,Station-wagon,"102,000 Km",Second Owner,Automatic,Cebu City,,
70,2019 Ford Ecosport 1.0 L Titanium AT Detail,"₱750,000 ",2022.0,2019,Gasoline,Crossover,"22,000 Km",First Owner,Automatic,Mandaluyong City,5 seat,998 CC
71,2020 Toyota Avanza 1.3 E CVT Detail,"₱750,000 ",2020.0,2020,Gasoline,Mpv,"19,000 Km",Second Owner,Cvt,Taguig,7 seat,1329 CC
72,2021 Geely Coolray Sport Detail,"₱750,000 ",2021.0,2021,Gasoline,Crossover,"20,100 Km",First Owner,Dual-clutch,San Pedro,5 seat,1477 CC
73,2010 Toyota Innova 2.8 E Diesel MT Detail,"₱750,000 ",2010.0,2010,Diesel,Mpv,"85,000 Km",First Owner,Manual,Bago City,8 seat,2755 CC
74,2020 Hyundai Kona 2.0 GLS 6A/T Detail,"₱750,000 ",2020.0,2020,Gasoline,Crossover,"36,000 Km",First Owner,Automatic,Carmona,5 seat,1998 CC
75,2013 Toyota Fortuner 2.4 G Diesel 4x2 AT Detail,"₱750,000 ",2022.0,2013,Diesel,Suv,"115,000 Km",First Owner,Automatic,Quezon City,7 seat,2393 CC
76,2012 Mitsubishi Montero Sport 2.5L GLS-V SE AT Detail,"₱750,000 ",,2012,Diesel,Suv,"57,950 Km",First Owner,Automatic,Marikina City,7 seat,2477 CC
77,2012 Mitsubishi Strada GLS Sport V 4x4 MT Detail,"₱750,000 ",,2012,Diesel,Pickup-trucks,"68,577 Km",First Owner,Manual,Marikina City,,
78,2015 Mitsubishi Strada 2.5 GLX AT Detail,"₱750,000 ",,2015,Diesel,Pickup-trucks,"79,326 Km",First Owner,Automatic,Marikina City,,2498 CC
79,2016 Subaru Forester 2.0i-Premium Detail,"₱750,000 ",,2016,Gasoline,Suv,"33,000 Km",First Owner,Automatic,Quezon City,5 seat,1995 CC
80,2013 Toyota Fortuner 2.4L G AT Detail,"₱750,000 ",2013.0,2013,Diesel,Suv,"67,000 Km",First Owner,Automatic,Cebu City,7 seat,2393 CC
81,2017 Chevrolet Colorado 2.8L LT 4x2 AT Detail,"₱750,000 ",,2017,Diesel,Pickup-trucks,,First Owner,Automatic,Quezon City,5 seat,2776 CC
82,2019 Toyota Rush 1.5 G GR-S A/T Detail,"₱750,000 ",2019.0,2019,Gasoline,Suv,"41,000 Km",First Owner,Automatic,Caloocan City,7 seat,1496 CC
83,2012 Mercedes-Benz C-Class C180 (2.1 L AT) Detail,"₱750,000 ",2023.0,2012,Diesel,Sedan,"76,000 Km",Second Owner,Automatic,Las Piñas,,
84,2015 Mitsubishi Montero Sport 2.5 GLX 4x2 MT Detail,"₱750,000 ",,2015,Diesel,Suv,"87,000 Km",First Owner,Manual,Taal,7 seat,2477 CC
85,2015 Ford Ranger 2.0L Turbo XLT 4x2 AT Detail,"₱750,000 ",2023.0,2015,Diesel,Pickup-trucks,"95,000 Km",First Owner,Automatic,Marilao,5 seat,1996 CC
86,2023 Toyota Raize 1.2 E CVT Detail,"₱750,000 ",2023.0,2023,Gasoline,Crossover,"4,400 Km",First Owner,Cvt,Taguig,5 seat,1198 CC
87,2016 Chevrolet Trailblazer LT Detail,"₱750,000 ",2023.0,2016,Gasoline,Suv,"35,000 Km",First Owner,Cvt,Quezon City,5 seat,1341 CC
88,2018 Nissan NV350 Urvan Premium M/T 15-Seater Detail,"₱750,000 ",2018.0,2018,Diesel,Minivans,"35,000 Km",First Owner,Manual,Bauan,15 seat,2488 CC
89,2023 MG ZS Alpha AT Detail,"₱750,000 ",2023.0,2023,Gasoline,Crossover,"7,617 Km",First Owner,Automatic,san-mateo,5 seat,1499 CC
0,2018 Nissan Juke 1.6 Upper CVT Detail,"₱758,000 ",,2018,Gasoline,Crossover,"5,000 Km",First Owner,Cvt,Pasig,5 seat,1598 CC
1,2020 Hyundai Kona 2.0 GLS 6A/T Detail,"₱758,000 ",,2020,Gasoline,Crossover,1 Km,First Owner,Automatic,Pasig,5 seat,1998 CC
2,2020 Hyundai Kona 2.0 GLS 6A/T Detail,"₱758,000 ",2020,2020,Gasoline,Crossover,"13,000 Km",First Owner,Automatic,Marikina City,5 seat,1998 CC
3,2020 Toyota Vios 1.5 G Prime CVT Detail,"₱758,000 ",,2020,Gasoline,Sedan,1 Km,First Owner,Cvt,Pasig,5 seat,1496 CC
4,2019 Mazda 3 Sedan SkyActiv V Detail,"₱759,000 ",2019,2019,Gasoline,Sedan,"55,000 Km",Second Owner,Automatic,Makati City,5 seat,1496 CC
5,2017 Isuzu mu-X RZ4E 4x2 LS-A MT Detail,"₱760,000 ",2023,2017,Diesel,Suv,"85,000 Km",First Owner,Manual,San Jose del Monte,7 seat,1898 CC
6,2013 Honda Accord 3.5 SV AT V6 Detail,"₱760,000 ",,2013,Gasoline,Sedan,"40,000 Km",First Owner,Automatic,Las Piñas,5 seat,3471 CC
7,2017 Toyota Innova 2.8L J MT Detail,"₱760,000 ",2017,2017,Diesel,Mpv,"98,000 Km",Second Owner,Manual,Davao City,,
8,2012 Hyundai Genesis Coupe 2.0L TURBO 8AT FL Detail,"₱760,000 ",2023,2012,Gasoline,Coupe,"58,000 Km",First Owner,Automatic,Silang,4 seat,1998 CC
9,2017 Isuzu mu-X RZ4E 4x2 LS-A MT Detail,"₱760,000 ",2017,2017,Diesel,Suv,"120,000 Km",First Owner,Manual,Calamba,7 seat,1898 CC
10,2010 BMW X1 sDrive 18i AT Detail,"₱765,000 ",2010,2010,Gasoline,Suv,1 Km,First Owner,Automatic,Lapu-Lapu City,5 seat,1995 CC
11,2014 Ford Explorer 2.0L Ecoboost Limited Detail,"₱768,000 ",2014,2014,Gasoline,Suv,"65,000 Km",First Owner,Automatic,Paranaque,7 seat,1999 CC
12,2014 Ford Explorer 3.5L Limited AT Detail,"₱768,000 ",,2014,Gasoline,Suv,,First Owner,Automatic,Cavite City,,
13,2015 Toyota Innova 2.5L G AT Detail,"₱768,000 ",,2015,Diesel,Mpv,"26,000 Km",First Owner,Automatic,Quezon City,8 seat,2494 CC
14,2019 Hyundai Kona 2.0 GLS 6A/T Detail,"₱768,000 ",,2019,Gasoline,Crossover,1 Km,First Owner,Automatic,Quezon City,5 seat,1998 CC
15,2016 Nissan NV350 Urvan Standard 15-Seater Detail,"₱768,000 ",,2016,Diesel,Minivans,1 Km,First Owner,Manual,Paranaque,15 seat,2488 CC
16,2018 Hyundai Tucson 2.0 CRDi GLS 8AT 2WD (Dsl) Detail,"₱770,000 ",,2018,Diesel,Suv,"30,000 Km",First Owner,Automatic,Las Piñas,5 seat,1995 CC
17,2010 Mercedes-Benz C-Class C200 (1.8 L AT) Detail,"₱770,000 ",2022,2010,Gasoline,Sedan,"55,000 Km",Second Owner,Automatic,Manila,,
18,2013 Toyota Fortuner Dsl AT 4x2 2.5 G Detail,"₱770,000 ",2013,2013,Diesel,Suv,"70,000 Km",First Owner,Automatic,Quezon City,7 seat,2494 CC
19,2023 Mitsubishi L300 2.2L MT Detail,"₱770,000 ",2023,2023,Diesel,Mpv,"7,000 Km",First Owner,Manual,Taguig,,
20,2016 Honda CR-V 2.0L AT Detail,"₱775,000 ",2016,2016,Gasoline,Suv,"27,538 Km",First Owner,Automatic,Pasay,,1998 CC
21,2006 BMW 5 Series Sedan 520d Detail,"₱775,000 ",2006,2006,Diesel,Sedan,"69,000 Km",First Owner,Automatic,Pasig,5 seat,1995 CC
22,2017 Chevrolet Trailblazer Premier Detail,"₱775,000 ",2017,2017,Gasoline,Suv,"45,000 Km",Third Owner,Cvt,Taguig,5 seat,1341 CC
23,2017 Hyundai Grand Starex 2.5 GL MT Detail,"₱778,000 ",,2017,Diesel,Van,"24,000 Km",First Owner,Manual,Quezon City,,2498 CC
24,2018 Honda BR-V 1.5 V CVT Detail,"₱778,000 ",,2018,Gasoline,Crossover,,First Owner,Cvt,Cavite City,7 seat,1497 CC
25,2013 Ford E-150 4.6L Chateau AT Detail,"₱780,000 ",,2013,Gasoline,Van,"33,000 Km",First Owner,Automatic,Pasay,,
26,2015 Mitsubishi Strada 2.5 GLS-V MT Detail,"₱780,000 ",2022,2015,Diesel,Pickup-trucks,"79,000 Km",First Owner,Manual,Marikina City,,
27,2016 Honda Civic V Turbo CVT Honda Sensing Detail,"₱780,000 ",2016,2016,Gasoline,Sedan,"45,059 Km",First Owner,Cvt,Paranaque,5 seat,1498 CC
28,2018 Toyota Innova 2.8L G MT Detail,"₱780,000 ",2018,2018,Diesel,Mpv,"40,000 Km",First Owner,Manual,Cabuyao,,
29,2017 Mitsubishi Montero Sport GLX 2WD 2.4D MT Detail,"₱780,000 ",2022,2017,Diesel,Suv,"75,000 Km",First Owner,Manual,Davao City,7 seat,2442 CC
30,2015 Ford Ranger 2.0L Turbo Wildtrak 4x2 AT Detail,"₱780,000 ",2023,2015,Diesel,Pickup-trucks,"85,000 Km",Second Owner,Automatic,Quezon City,5 seat,1996 CC
31,2017 Honda CR-V 2.0 V AT Detail,"₱780,000 ",,2017,Gasoline,Crossover,"60,000 Km",First Owner,Automatic,Las Piñas,5 seat,1997 CC
32,2016 Ford Everest 2.2L Ambiente AT Detail,"₱780,000 ",,2016,Diesel,Suv,"90,000 Km",First Owner,Automatic,Las Piñas,,
33,2015 Mitsubishi Montero Sport 2.5L GLS-V SE AT Detail,"₱780,000 ",,2015,Diesel,Suv,"60,000 Km",First Owner,Automatic,Las Piñas,,
34,2017 Isuzu D-Max LS RWD MT Detail,"₱780,000 ",2017,2017,Diesel,Pickup-trucks,1 Km,First Owner,,Cebu City,,
35,2016 Hyundai Santa Fe 2.2 CRDi GLS 6AT (Dsl) Detail,"₱780,000 ",2016,2016,Diesel,Suv,"82,000 Km",First Owner,Automatic,Subic,7 seat,2199 CC
36,2015 Mazda CX-5 2.2L AWD Signature Diesel Detail,"₱780,000 ",2015,2015,Diesel,Crossover,"56,000 Km",First Owner,Automatic,Cebu City,5 seat,2191 CC
37,2023 Mitsubishi Mirage G4 GLX CVT Detail,"₱780,000 ",2023,2023,Gasoline,Sedan,"30,000 Km",Second Owner,Cvt,Quezon City,5 seat,1193 CC
38,2023 Mitsubishi L300 2.5L FB Exceed MT Detail,"₱780,000 ",2023,2023,Diesel,Mpv,"7,000 Km",First Owner,Manual,Valenzuela,,2488 CC
39,2017 Mitsubishi Montero Sport GLX 2WD 2.4D MT Detail,"₱780,000 ",2023,2017,Diesel,Suv,"45,000 Km",First Owner,Manual,Las Piñas,7 seat,2442 CC
40,2019 Mitsubishi Xpander GLS Sport 1.5G 2WD AT Detail,"₱785,000 ",,2019,Gasoline,Mpv,"38,000 Km",First Owner,Automatic,Silang,7 seat,1499 CC
41,2017 Toyota Innova 2.8L J MT Detail,"₱788,000 ",,2017,Diesel,Mpv,"20,000 Km",First Owner,Manual,Marikina City,8 seat,2755 CC
42,2014 Hyundai Santa Fe 2.2 AT FWD Detail,"₱788,000 ",,2014,Diesel,Suv,1 Km,First Owner,Automatic,Quezon City,7 seat,2199 CC
43,2017 Kia Sportage SL 2.0 AT FWD Detail,"₱788,000 ",,2017,Diesel,Suv,"43,000 Km",First Owner,Automatic,Paranaque,5 seat,1995 CC
44,2019 Hyundai H-100 2.5L CRDi 6MT Shuttle (with  A/C) Detail,"₱788,000 ",,2019,Diesel,Pickup-trucks,"21,000 Km",First Owner,Manual,Quezon City,3 seat,2497 CC
45,2020 Mitsubishi Mirage G4 GLX 1.2 MT Detail,"₱788,000 ",,2020,Gasoline,Sedan,,First Owner,Manual,Quezon City,5 seat,1193 CC
46,2019 Mitsubishi Mirage G4 GLX 1.2 MT Detail,"₱788,000 ",,2019,Gasoline,Sedan,,First Owner,Manual,Quezon City,5 seat,1193 CC
47,2019 Hyundai Tucson 2.0 GL 6AT 2WD Detail,"₱788,000 ",2019,2019,Gasoline,Suv,"28,000 Km",First Owner,Automatic,Quezon City,5 seat,1999 CC
48,2023 Mitsubishi Mirage G4 GLX CVT Detail,"₱788,000 ",2023,2023,Gasoline,Sedan,"5,000 Km",First Owner,Cvt,Bacoor,5 seat,1193 CC
49,2020 Ford Ranger 2.0L Turbo XLS 4x2 MT Detail,"₱788,000 ",2024,2020,Diesel,Pickup-trucks,"30,000 Km",Second Owner,Manual,Cainta,5 seat,1996 CC
50,2022 Toyota Avanza 1.3 E M/T Detail,"₱790,000 ",2021,2022,Gasoline,Mpv,"1,554 Km",First Owner,Manual,Quezon City,7 seat,1329 CC
51,2023 Toyota Avanza 1.3 E M/T Detail,"₱790,000 ",,2023,Gasoline,Mpv,"1,500 Km",First Owner,Manual,Quezon City,7 seat,1329 CC
52,2014 Toyota Fortuner 2.4 V AT Detail,"₱790,000 ",2014,2014,Diesel,Suv,1 Km,First Owner,Automatic,"Talisay City, Cebu",7 seat,2393 CC
