,model,price,registration_year,make_year,fuel_type,body_type,kms_driven,ownership,transmission,city,seats,engine_displacement
10,2018 Toyota Vios 1.3 E CVT Detail,"₱558,000 ",,2018,Gasoline,Sedan,,First Owner,Cvt,Cavite City,5 seat,1329 CC
11,2019 Suzuki Ertiga 1.5 GL MT (Upgrade) Detail,"₱558,000 ",,2019,Gasoline,Mpv,"38,000 Km",First Owner,Manual,Mandaluyong City,7 seat,1462 CC
12,2013 Toyota Camry 2.4G Detail,"₱560,000 ",2013.0,2013,Gasoline,Sedan,"118,000 Km",Second Owner,Manual,Caloocan City,,2393 CC
13,2019 Nissan Almera 1.5 E AT Detail,"₱560,000 ",,2019,Gasoline,Sedan,"11,547 Km",First Owner,Automatic,Quezon City,5 seat,1498 CC
14,2018 Mazda 3 Sedan 1.5L Elite Detail,"₱560,000 ",2022.0,2018,Gasoline,Sedan,"60,000 Km",Second Owner,Automatic,Marikina City,5 seat,1496 CC
15,2014 Toyota Corolla Altis 1.6 V AT Detail,"₱560,000 ",,2014,Gasoline,Sedan,"75,000 Km",First Owner,Automatic,Las Piñas,5 seat,1598 CC
16,2023 Suzuki S-Presso GL MT Detail,"₱560,000 ",2023.0,2023,Gasoline,Hatchback,800 Km,First Owner,Manual,Iloilo City,5 seat,998 CC
17,2017 Toyota Avanza 1.3 E A/T Detail,"₱560,000 ",2023.0,2017,Gasoline,Mpv,"33,000 Km",First Owner,Automatic,Valenzuela,7 seat,1329 CC
18,2013 Toyota RAV 4 2.5L Premium AT 4x4 Detail,"₱560,000 ",2013.0,2013,Gasoline,Suv,"90,000 Km",First Owner,Automatic,Taguig,,
19,2016 Hyundai Tucson 2.0L S AT Detail,"₱560,000 ",2016.0,2016,Gasoline,Suv,"50,000 Km",First Owner,Automatic,Silang,,1998 CC
20,2013 Hyundai Grand Starex 2.5 GL 5M/T (Dsl) Detail,"₱560,000 ",2023.0,2013,Diesel,Minivans,"88,000 Km",Second Owner,Manual,Manila,10 seat,2476 CC
21,2016 Isuzu Crosswind XT  MT Detail,"₱560,000 ",2022.0,2016,Diesel,Suv,"45,900 Km",First Owner,Manual,Davao City,7 seat,2499 CC
22,2017 Toyota Corolla Altis 1.6 G MT Detail,"₱560,000 ",2017.0,2017,Gasoline,Sedan,"5,000 Km",First Owner,Manual,Pasig,5 seat,1598 CC
23,2015 Mazda 3 Hatchback 2.0 R AT Detail,"₱560,000 ",2015.0,2015,Gasoline,Hatchback,"52,884 Km",First Owner,Automatic,Mandaluyong City,5 seat,1998 CC
24,2017 Subaru XV 2.0i-S EyeSight Detail,"₱560,000 ",2017.0,2017,Gasoline,Suv,"55,000 Km",First Owner,Cvt,Pasay,5 seat,1995 CC
25,2021 Chery Tiggo 2 Pro 1.5L Detail,"₱565,000 ",2021.0,2021,Gasoline,Crossover,"15,000 Km",First Owner,Cvt,Quezon City,5 seat,1497 CC
