key,make,model,transmission,body_type,fuel_type_Diesel,fuel_type_Gasoline,kms_driven,engine_size,resale_price,srp,no_sc_mmnl
Ford Everest,1180181.2247765185,937394.1015666497,1102810.8291457286,1086439.880131363,1,0,95000.0,2.0,690000.0,1799000.0,2
Ford Everest,1180181.2247765185,937394.1015666497,1102810.8291457286,1086439.880131363,1,0,70000.0,2.0,700000.0,1799000.0,2
Ford Everest,1180181.2247765185,937394.1015666497,1102810.8291457286,1086439.880131363,1,0,75000.0,2.0,730000.0,1799000.0,2
Ford Everest,1180181.2247765185,937394.1015666497,1102810.8291457286,1086439.880131363,1,0,90000.0,2.2,780000.0,1799000.0,2
Ford Everest,1180181.2247765185,937394.1015666497,1102810.8291457286,1086439.880131363,1,0,30000.0,2.0,800000.0,1799000.0,2
Ford Everest,1180181.2247765185,937394.1015666497,1102810.8291457286,1086439.880131363,1,0,88000.0,2.0,800000.0,1799000.0,2
Ford Everest,1180181.2247765185,937394.1015666497,753252.8193717279,1086439.880131363,1,0,45000.0,2.2,825000.0,1799000.0,2
Ford Everest,1180181.2247765185,937394.1015666497,1102810.8291457286,1086439.880131363,1,0,1.0,2.2,830000.0,1799000.0,2
Ford Everest,1180181.2247765185,937394.1015666497,1102810.8291457286,1086439.880131363,1,0,45000.0,2.0,850000.0,1799000.0,2
Ford Everest,1180181.2247765185,937394.1015666497,1102810.8291457286,1086439.880131363,1,0,78000.0,2.2,888000.0,1799000.0,2
Ford Everest,1180181.2247765185,937394.1015666497,753252.8193717279,1086439.880131363,1,0,60000.0,2.2,890000.0,1799000.0,2
Ford Everest,1180181.2247765185,937394.1015666497,1102810.8291457286,1086439.880131363,1,0,35000.0,2.0,890000.0,1799000.0,2
Ford Everest,1180181.2247765185,937394.1015666497,1102810.8291457286,1086439.880131363,1,0,39000.0,2.2,898000.0,1799000.0,2
Ford Everest,1180181.2247765185,937394.1015666497,1102810.8291457286,1086439.880131363,1,0,72000.0,2.2,945000.0,1799000.0,2
Ford Everest,1180181.2247765185,937394.1015666497,1102810.8291457286,1086439.880131363,1,0,88889.0,2.0,950000.0,1799000.0,2
Ford Everest,1180181.2247765185,937394.1015666497,1102810.8291457286,1086439.880131363,1,0,22000.0,2.2,950000.0,1799000.0,2
Ford Everest,1180181.2247765185,937394.1015666497,1102810.8291457286,1086439.880131363,1,0,25000.0,2.0,950000.0,1799000.0,2
Ford Everest,1180181.2247765185,937394.1015666497,1102810.8291457286,1086439.880131363,1,0,50000.0,2.0,970000.0,1799000.0,2
Ford Everest,1180181.2247765185,937394.1015666497,1102810.8291457286,1086439.880131363,1,0,40000.0,2.0,976000.0,1799000.0,2
Ford Everest,1180181.2247765185,937394.1015666497,1102810.8291457286,1086439.880131363,1,0,75000.0,2.2,998000.0,1799000.0,2
Ford Everest,1180181.2247765185,937394.1015666497,1102810.8291457286,1086439.880131363,1,0,48000.0,2.2,1000000.0,1799000.0,2
Ford Everest,1180181.2247765185,937394.1015666497,1102810.8291457286,1086439.880131363,1,0,60000.0,2.2,1028000.0,1799000.0,2
Ford Everest,1180181.2247765185,937394.1015666497,1102810.8291457286,1086439.880131363,1,0,14000.0,2.2,1050000.0,1799000.0,2
Ford Everest,1180181.2247765185,937394.1015666497,1102810.8291457286,1086439.880131363,1,0,71000.0,2.0,1050000.0,1799000.0,2
Ford Everest,1180181.2247765185,937394.1015666497,1102810.8291457286,1086439.880131363,1,0,1.0,3.2,1050000.0,1799000.0,2
Ford Everest,1180181.2247765185,937394.1015666497,1102810.8291457286,1086439.880131363,1,0,30000.0,2.2,1070000.0,1799000.0,2
Ford Everest,1180181.2247765185,937394.1015666497,1102810.8291457286,1086439.880131363,1,0,45000.0,2.2,1098000.0,1799000.0,2
Ford Everest,1180181.2247765185,937394.1015666497,1102810.8291457286,1086439.880131363,1,0,41000.0,2.2,1168000.0,1799000.0,2
Ford Everest,1180181.2247765185,937394.1015666497,1102810.8291457286,1086439.880131363,1,0,60000.0,3.2,1190000.0,1799000.0,2
Ford Everest,1180181.2247765185,937394.1015666497,1102810.8291457286,1086439.880131363,1,0,38000.0,2.0,1200000.0,1799000.0,2
Ford Everest,1180181.2247765185,937394.1015666497,1102810.8291457286,1086439.880131363,1,0,80000.0,2.0,1200000.0,1799000.0,2
Ford Everest,1180181.2247765185,937394.1015666497,1102810.8291457286,1086439.880131363,1,0,60000.0,2.0,1350000.0,1799000.0,2
Ford Everest,1180181.2247765185,937394.1015666497,1102810.8291457286,1086439.880131363,1,0,23000.0,2.0,1358000.0,1799000.0,2
Ford Everest,1180181.2247765185,937394.1015666497,1102810.8291457286,1086439.880131363,1,0,8000.0,2.0,1600000.0,1799000.0,2
Ford Everest,1180181.2247765185,937394.1015666497,1102810.8291457286,1086439.880131363,1,0,20000.0,2.0,1700000.0,1799000.0,2
Ford Everest,1180181.2247765185,937394.1015666497,1102810.8291457286,1086439.880131363,1,0,11000.0,2.0,1795000.0,1799000.0,2
Ford Everest,1180181.2247765185,937394.1015666497,1102810.8291457286,1086439.880131363,1,0,20001.0,2.0,1830000.0,1799000.0,2
Ford Everest,1180181.2247765185,937394.1015666497,1102810.8291457286,1086439.880131363,1,0,11000.0,2.0,1880000.0,1799000.0,2
Ford Ranger,1180181.2247765185,1110143.160769725,1102810.8291457286,1131717.701128078,1,0,40000.0,2.0,1540000.0,1249000.0,2
Ford Ranger,1180181.2247765185,1110143.160769725,1102810.8291457286,1131717.701128078,1,0,60000.0,2.2,680000.0,1249000.0,2
Ford Ranger,1180181.2247765185,1110143.160769725,1102810.8291457286,1131717.701128078,1,0,60000.0,2.2,770000.0,1249000.0,2
Ford Ranger,1180181.2247765185,1110143.160769725,1102810.8291457286,1131717.701128078,1,0,40000.0,2.0,905000.0,1249000.0,2
Ford Ranger,1180181.2247765185,1110143.160769725,1102810.8291457286,1131717.701128078,1,0,21000.0,2.0,1890000.0,1249000.0,2
Ford Ranger,1180181.2247765185,1110143.160769725,753252.8193717279,1131717.701128078,1,0,74000.0,2.2,1000000.0,1249000.0,2
Ford Ranger,1180181.2247765185,1110143.160769725,1102810.8291457286,1131717.701128078,1,0,26000.0,2.0,1460000.0,1249000.0,2
Ford Ranger,1180181.2247765185,1110143.160769725,753252.8193717279,1131717.701128078,1,0,30000.0,2.0,838000.0,1249000.0,2
Ford Ranger,1180181.2247765185,1110143.160769725,1102810.8291457286,1131717.701128078,1,0,45000.0,2.2,850000.0,1249000.0,2
Ford Ranger,1180181.2247765185,1110143.160769725,753252.8193717279,1131717.701128078,1,0,95000.0,2.0,590000.0,1249000.0,2
Ford Ranger,1180181.2247765185,1110143.160769725,1102810.8291457286,1131717.701128078,1,0,95000.0,2.0,710000.0,1249000.0,2
Ford Ranger,1180181.2247765185,1110143.160769725,1102810.8291457286,1131717.701128078,1,0,59000.0,2.2,725000.0,1249000.0,2
